YrMonth,Date,Management,Crop
1502,02/15/15,Defoliation,OR
1506,06/05/15,Observation,OR
1506,06/05/15,Observation,M
1506,06/05/15,Observation,YR
1506,08/21/15,Observation,OR
1506,08/21/15,Observation,M
1506,08/21/15,Observation,YR
1602,02/15/16,Defoliation,OR
1605,05/15/16,Herbicide,M
1606,05/30/16,Herbicide,YR
1606,05/30/16,Seeding,M
1606,06/15/16,Seeding,YR
1607,07/30/16,Herbicide,OR
1608,08/30/16,Harvest,M
1610,10/30/16,Harvest,YR
1606,05/23/16,Observation,OR
1606,05/23/16,Observation,M
1606,05/23/16,Observation,YR
1606,08/21/16,Observation,OR
1606,08/21/16,Observation,M
1606,08/21/16,Observation,YR
