"","Start","API","Date_num","Paddy","ACC1","Cumul_since_last","max_EI30_since_last_event","Sum_EC_since_last_event","Microplot","Ruiss","Plot","Plot2","Treatment","Replicate","Coeff","Cumul_corr","Year","Crop","bad_data","Tot_Detachment"
"62",2017-03-18,0.000272591107739392,17243,83.331,NA,83.331,NA,NA,"OR2-H1",NA,"OR2","OR2","H","1",NA,83.331,"17","OR",NA,NA
"64",2017-03-27,0.106019346414598,17252,5.6,4.3,7.289,64.315648480686,22.9349659795478,"OR2-H1",0,"OR2","OR2","H","1",NA,5.6,"17","OR","ok",NA
"65",2017-03-29,1.86508735043131,17254,6.8,5,6.895,217.898449652148,16.2659338348872,"OR2-H1",0.25,"OR2","OR2","H","1",NA,6.8,"17","OR","ok",NA
"73",2017-04-04,7.10979074805212,17260,34.5,37.2,36.839,454.228610682889,67.2384486842868,"OR2-H1",4.1105571777671,"OR2","OR2","H","1",NA,34.5,"17","OR","ok",NA
"76",2017-04-16,1.53684008793969,17272,5.3,4.7,6.107,33.2126411363539,9.36622705480934,"OR2-H1",0.22,"OR2","OR2","H","1",NA,5.3,"17","OR","ok",NA
"77",2017-04-17,1.07563167865764,17273,4.9,4.1,4.334,64.315648480686,11.6598347499431,"OR2-H1",0.13,"OR2","OR2","H","1",NA,4.9,"17","OR","ok",NA
"79",2017-04-23,4.30367608310281,17279,4.8,5.4,4.531,51.3442822890529,10.8596197734883,"OR2-H1",0.05,"OR2","OR2","H","1",NA,4.8,"17","OR","ok",NA
"81",2017-04-23,5.67587137620904,17279,40.6,42.6,31.126,724.747979555625,32.8030747159745,"OR2-H1",5.3756304991446,"OR2","OR2","H","1",NA,40.6,"17","OR","ok",NA
"86",2017-04-28,8.69738056719315,17284,6.9,12.3,7.683,45.1079820778386,22.3742440880074,"OR2-H1",0.07,"OR2","OR2","H","1",NA,6.9,"17","OR","ok",NA
"91",2017-05-11,0.727946024174173,17297,3.8,5.5,5.319,64.315648480686,23.5313914592442,"OR2-H1",0.05,"OR2","OR2","H","1",NA,3.8,"17","OR","ok",NA
"96",2017-05-14,15.0085979044493,17300,27,27.9,32.702,397.169069393924,57.8110077179942,"OR2-H1",1.246355154618,"OR2","OR2","H","1",NA,27,"17","OR","ok",NA
"102",2017-05-16,88.2685319423654,17302,158.9,117.3,100.864,1994.51983162859,64.0114668604899,"OR2-H1",60.856304833662,"OR2","OR2","H","1",NA,158.9,"17","OR","bad",NA
"117",2017-05-18,81.3490180093643,17304,36.1,34,49.053,168.326766650481,66.6731542569322,"OR2-H1",0.61222265758496,"OR2","OR2","H","1",NA,36.1,"17","OR","ok",NA
"119",2017-05-21,24.2859978021793,17307,3,2.2,2.758,22.2339568180658,16.123246423543,"OR2-H1",0.08,"OR2","OR2","H","1",NA,3,"17","OR","ok",NA
"121",2017-05-24,67.7615723648425,17310,68.7,74.1,65.4040000000001,2115.70547629854,32.007829698676,"OR2-H1",22.706458529369,"OR2","OR2","H","1",NA,68.7,"17","OR","ok",NA
"123",2017-05-26,40.2888074116544,17312,21.3,27.1,20.488,192.815244301084,28.1394251580495,"OR2-H1",3.0172561477473,"OR2","OR2","H","1",NA,21.3,"17","OR","ok",NA
"129",2017-05-31,6.49638900327819,17317,6.2,5.7,5.713,39.0578753775555,27.764650516898,"OR2-H1",0.09,"OR2","OR2","H","1",NA,6.2,"17","OR","ok",NA
"132",2017-06-03,2.24953754022858,17320,20.2,23.2,20.488,808.484129494656,25.2630932906439,"OR2-H1",2.5606985066433,"OR2","OR2","H","1",NA,20.2,"17","OR","ok",NA
"140",2017-06-08,31.1979147844131,17325,52.5,42.3,40.7789999999999,359.878709585797,64.6769511930157,"OR2-H1",7.8130959527569,"OR2","OR2","H","1",NA,52.5,"17","OR","ok",NA
"144",2017-06-10,23.1203736389271,17327,28.6,31.7,10.638,305.189118762839,21.2675528786657,"OR2-H1",4.1105571777671,"OR2","OR2","H","1",NA,28.6,"17","OR","ok",NA
"151",2017-06-13,34.286886769342,17330,31.2,35.3,28.959,662.926791896171,27.0872425714471,"OR2-H1",5.4805177082787,"OR2","OR2","H","1",NA,31.2,"17","OR","ok",NA
"160",2017-06-15,18.8681907116405,17332,8.1,6.5,6.895,12.4404609585798,9.43171055661483,"OR2-H1",0.61222265758496,"OR2","OR2","H","1",NA,8.1,"17","OR","ok",NA
"170",2017-06-21,17.8480013385257,17338,25.3,23.8,20.094,642.518547185119,36.7886824689356,"OR2-H1",2.2471299188825,"OR2","OR2","H","1",NA,25.3,"17","OR","ok",NA
"173",2017-06-26,20.3000454516014,17343,21.4,30.9,28.171,359.878709585797,23.4245442171337,"OR2-H1",3.2496090833793,"OR2","OR2","H","1",NA,21.4,"17","OR","ok",NA
"179",2017-06-27,32.7440345370743,17344,25.7,31.8,22.852,561.948911996241,36.2115038052632,"OR2-H1",8.7053616695636,"OR2","OR2","H","1",NA,25.7,"17","OR","ok",NA
"182",2017-06-28,25.989129186758,17345,8.9,12.8,8.668,184.583444960256,28.0341943482862,"OR2-H1",2.1583871246211,"OR2","OR2","H","1",NA,8.9,"17","OR","ok",NA
"189",2017-06-29,39.7738149381909,17346,26.4,33.8,26.004,622.213873136417,34.5805197797903,"OR2-H1",6.3947291427937,"OR2","OR2","H","1",NA,26.4,"17","OR","ok",NA
"192",2017-07-01,21.2649299883733,17348,7.9,6.9,7.092,22.2339568180658,8.0616232117715,"OR2-H1",0.822387735486,"OR2","OR2","H","1",NA,7.9,"17","OR","ok",NA
"203",2017-07-04,21.4342008715779,17351,26.5,27.6,25.61,350.656424102899,45.7588987468671,"OR2-H1",5.7985343444948,"OR2","OR2","H","1",NA,26.5,"17","OR","ok",NA
"204",2017-07-05,12.7384231172899,17352,20.6,25.4,15.957,296.231120555643,17.4850147890239,"OR2-H1",5.9056632929235,"OR2","OR2","H","1",NA,20.6,"17","OR","ok",NA
"213",2017-07-09,10.1395114387034,17356,5.1,6.6,5.516,4.32989849602564,9.89670820775583,"OR2-H1",0.19448210212753,"OR2","OR2","H","1",NA,5.1,"17","OR","ok",NA
"227",2017-07-10,13.1282978389839,17357,13.5,17,16.351,184.583444960256,33.802209864924,"OR2-H1",1.9380828495136,"OR2","OR2","H","1",NA,13.5,"17","OR","ok",NA
"234",2017-07-13,85.0443537940911,17360,86.2,87.2,84.513,1359.40823975028,74.8203941930453,"OR2-H1",15.426596276153,"OR2","OR2","H","1",NA,86.2,"17","OR","ok",NA
"247",2017-07-15,86.4149172154722,17362,118.8,124,69.5409999999999,454.228610682889,87.3035953513242,"OR2-H1",45.441432490152,"OR2","OR2","H","1",NA,118.8,"17","OR","ok",NA
