Month;Month;YrMonth;Date;Yr;Cumul;s5mm;R;pourc;Rdens
Janvier;1;1501;01/15/15;2015;0;0;0;0;0
fevrier;2;1502;02/15/15;2015;0;0;0;0;0
Mars;3;1503;03/15/15;2015;33.9;6;7.8;3.00%;0.23
Avril;4;1504;04/15/15;2015;193.8;18;52.5;20.00%;0.27
Mai;5;1505;05/15/15;2015;111.3;13;23.6;9.00%;0.21
Juin;6;1506;06/15/15;2015;48.1;12;8.9;3.00%;0.18
Juillet;7;1507;07/15/15;2015;198;26;37.4;14.00%;0.19
Aout;8;1508;08/15/15;2015;293.9;41;58.2;22.00%;0.2
Septembre;9;1509;09/15/15;2015;174.3;28;38.2;14.00%;0.22
Octobre;10;1510;10/15/15;2015;143;8;25.3;9.00%;0.18
Novembre;11;1511;11/15/15;2015;40.4;6;10.3;4.00%;0.26
Decembre;12;1512;12/15/15;2015;33.5;9;5.3;2.00%;0.16
Janvier;1;1601;01/15/16;2016;66.4;8;15.4;5.00%;0.23
Fevrier;2;1602;02/15/16;2016;5.7;4;0.6;0.00%;0.1
Mars;3;1603;03/15/16;2016;1;1;0.1;0.00%;0.08
Avril;4;1604;04/15/16;2016;36.2;7;9.8;3.00%;0.27
Mai;5;1605;05/15/16;2016;164.1;24;37.6;11.00%;0.23
Juin;6;1606;06/15/16;2016;238.6;23;73.4;22.00%;0.31
Juillet;7;1607;07/15/16;2016;202.7;34;40.1;12.00%;0.2
Aout;8;1608;08/15/16;2016;408.8;37;76.6;23.00%;0.19
Septembre;9;1609;09/15/16;2016;105.4;30;15.5;5.00%;0.15
Octobre;10;1610;10/15/16;2016;172.4;17;34.4;10.00%;0.2
Novembre;11;1611;11/15/16;2016;137.3;11;33.5;10.00%;0.24
decembre;12;1612;12/15/16;2016;0.8;0;0;0.00%;0
