Slice	Date	Plot	Treatment	Replicate	Microplot	Date2	Area	ok
2017-01	07/01/17	OR2	H	1	OR2-H1	(7-01-17)	16.010	
2017-01	07/01/17	OR2	H	2	OR2-H2	(7-01-17)	24.677	
2017-01	07/01/17	OR2	H	3	OR2-H3	(7-01-17)	26.686	
2017-01	07/01/17	OR2	NH	1	OR2-NH1	(7-01-17)	18.620	
2017-01	07/01/17	OR2	NH	2	OR2-NH2	(7-01-17)	18.913	
2017-01	07/01/17	OR2	NH	3	OR2-NH3	(7-01-17)	23.081	
2017-01	14/01/17	OR2	H	1	OR2-H1	(14-01-17)	16.406	
2017-01	14/01/17	OR2	H	2	OR2-H2	(14-01-17)	22.390	
2017-01	14/01/17	OR2	H	3	OR2-H3	(14-01-17)	30.067	
2017-01	14/01/17	OR2	NH	1	OR2-NH1	(14-01-17)	19.298	
2017-01	14/01/17	OR2	NH	2	OR2-NH2	(14-01-17)	21.370	
2017-01	14/01/17	OR2	NH	3	OR2-NH3	(14-01-17)	23.506	
2017-01	21/01/17	OR2	H	1	OR2-H1	(21-01-17)	16.555	
2017-01	21/01/17	OR2	H	2	OR2-H2	(21-01-17)	22.165	
2017-01	21/01/17	OR2	H	3	OR2-H3	(21-01-17)	29.676	
2017-01	21/01/17	OR2	NH	1	OR2-NH1	(21-01-17)	20.327	
2017-01	21/01/17	OR2	NH	2	OR2-NH2	(21-01-17)	20.916	
2017-01	21/01/17	OR2	NH	3	OR2-NH3	(21-01-17)	24.487	
2017-01	28/01/17	OR2	H	1	OR2-H1	(28-01-17)	15.639	
2017-01	28/01/17	OR2	H	2	OR2-H2	(28-01-17)	20.103	
2017-01	28/01/17	OR2	H	3	OR2-H3	(28-01-17)	27.055	
2017-01	28/01/17	OR2	NH	1	OR2-NH1	(28-10-17)	15.846	
2017-01	28/01/17	OR2	NH	2	OR2-NH2	(28-01-17)	20.757	
2017-01	28/01/17	OR2	NH	3	OR2-NH3	(28-01-17)	20.988	
2017-02	04/02/17	OR2	H	1	OR2-H1	(4-02-17)	16.092	
2017-02	04/02/17	OR2	H	2	OR2-H2	(4-02-17)	18.752	
2017-02	04/02/17	OR2	H	3	OR2-H3	(4-02-17)	20.528	
2017-02	04/02/17	OR2	NH	1	OR2-NH1	(4-02-17)	11.292	
2017-02	04/02/17	OR2	NH	2	OR2-NH2	(4-02-17)	15.836	
2017-02	04/02/17	OR2	NH	3	OR2-NH3	(4-02-17)	18.956	
2017-02	12/02/17	OR2	H	1	OR2-H1	(12-02-17)	12.920	
2017-02	12/02/17	OR2	H	2	OR2-H2	(12-02-17)	19.198	
2017-02	12/02/17	OR2	H	3	OR2-H3	(12-02-17)	21.215	
2017-02	12/02/17	OR2	NH	1	OR2-NH1	(12-02-17)	10.176	
2017-02	12/02/17	OR2	NH	2	OR2-NH2	(12-02-17)	17.643	
2017-02	12/02/17	OR2	NH	3	OR2-NH3	(12-02-17)	22.034	
