Month;Month_num;Month_plot;Year;Plot;Microplot;Crop;Yearly_rainfall;Fag;FG;ST;ERO;G;Charcoals;Residues;Wo;Term;Algae;Mosses;CC;WC;CH;WH;Ped%;Pedhx;Pedmean;Slope %;Late;Semi.annual.coeff
June;6;1;2015;M1;M11;M;901;12;1;59;0;1;0;27;0;1;7;0.2;2;2;0.135;0.08;28;8;2;53;FALSE;1.810223
June;6;1;2015;M1;M12;M;901;12;1;57;0;1;0;29;0;3;11;0;9;3;0.22;0.07;39;6;2;57;FALSE;1.733768
June;6;1;2015;M1;M13;M;901;10;5;50;0;13;0;22;0;1;22;0;4;1;0.105;0.045;70;4;2;61;FALSE;5.779319
June;6;1;2015;OR2I;OR2I1;ORI;967;0;0;0.2;0;0;0;99.8;0;0;0;0;70;0;7.5;0;0;0;0;51;FALSE;4.765189
June;6;1;2015;OR2I;OR2I2;ORI;967;0;2;0;0;0;0;98;0;0;0;0;55;0.5;7;0.025;0;0;0;49;FALSE;8.419404
June;6;1;2015;OR2I;OR2I3;ORI;967;0;0;0;0;0;0;100;0;0;0;0;50;1;5.5;0.135;0;0;0;36;FALSE;2.427622
June;6;1;2015;OR2S;OR2S1;ORS;967;17;0.2;19;0;0;0;64;0;1;12;8;90;2;7.5;0.05;30;11;3;61;FALSE;10.900419
June;6;1;2015;OR2S;OR2S2;ORS;967;5;0.1;52;0;0.1;0;43;0;0.2;29;16;82;0;6.5;0;60;17;5;57;FALSE;10.935220
June;6;1;2015;OR2S;OR2S3;ORS;967;7;0;41;0;0;0;52;0;0.6;17;11;69;1;7;0.025;40;11;4;53;FALSE;6.280036
June;6;1;2015;YRM;YRM11;YR;901;25;1;47;0;2;0;25;0;3;8;0;20;27;2.6;0.05;36;7;4;59;FALSE;7.130781
June;6;1;2015;YRM;YRM12;YR;901;20;3;40;0;0;0;37;0;1;5;1;13;1;2.05;0.12;18;12;3;62;FALSE;5.532432
June;6;1;2015;YRM;YRM13;YR;901;30;3;32;0;2;0;33;0.5;2;30;15;26;5;3.5;0.04;23;6;4;67;FALSE;2.020595
August;8;2;2015;M1;M11;M;901;6;1;80;0;1;0;12;0;2;4;0.4;27;64;0.79;0.56;28;8;2;53;TRUE;5.319572
August;8;2;2015;M1;M12;M;901;5;0;79;0;2;0;14;0;1;4;0.2;31;24;0.83;0.25;39;6;2;57;TRUE;14.727173
August;8;2;2015;M1;M13;M;901;4;5;72;0;13;0;6;0;3;2;7;17;57;0.67;0.35;70;4;2;61;TRUE;14.823333
August;8;2;2015;OR2I;OR2I1;ORI;967;0;0;5;0;0;0;95;0;0;0;0;70;0;7.5;0;0;0;0;51;TRUE;55.544089
